Признаки;;;;;;Acc;Recall;Prec;Spec;FPR;mean_attack;mean_no_attack
1;2;3;5;11;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;11;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;12;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;12;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;12;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;12;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;12;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;13;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;13;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;13;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;13;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;14;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;14;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;14;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;15;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;15;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;5;16;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;7;8; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;7;9; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;7;10; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;7;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;7;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;7;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;7;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;7;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;7;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;7;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;8;9; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;8;10; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;8;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;8;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;8;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;8;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;8;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;8;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;8;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;9;10; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;9;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;9;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;9;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;9;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;9;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;9;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;9;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;10;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;10;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;10;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;10;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;10;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;10;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;10;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;11;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;11;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;11;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;11;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;11;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;11;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;12;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;12;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;12;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;12;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;12;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;13;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;13;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;13;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;13;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;14;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;14;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;14;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;15;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;15;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;6;16;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;8;9; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;8;10; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;8;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;8;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;8;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;8;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;8;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;8;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;8;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;9;10; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;9;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;9;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;9;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;9;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;9;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;9;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;9;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;10;11; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;10;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;10;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;10;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;10;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;10;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;10;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;11;12; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;11;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;11;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;11;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;11;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;11;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;12;13; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;12;14; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;12;15; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;12;16; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
1;2;3;7;12;17; 0.807090; 0.000085; 1.000000; 1.000000; 0.000000; 0.922623; 1.000000
